,Unnamed: 0,Unnamed: 0.1,user_name,ID,user_location,user_description,user_verified,date,text,language,favourites-count,author,retweet-count,hashtags,source
19,19,19,A-Kay 🇳🇬,1485376244317401090,Nigeria,PROSPER AKPOS 🔶 A-KAY 🔶 17 🛠 🔶  RAPRENEUR 🔶 BOOKINGS: 📥talk2akay@yahoo.com 🔶 UG CITY TIGER,False,2022-01-23 22:17:48+00:00,"RT @integrimart: You are 22 and you did a f**king great job. Yes you are growing into world class. 

May Buhari no call you on the day you…",en,0,BarzbyAkay,6,,Twitter for iPhone
20,20,20,Don Stibium,1485376232921387008,"Akobo, Jonglei","An active muslim, a plant biologist.
Endowed with leadership ability.",False,2022-01-23 22:17:45+00:00,"RT @oladapobolaji5: Tunisia: Nigeria is the strongest team in this tournament. No way we’re beating them
Coach: yes we can!
Tunisia: how?
C…",en,0,RaheemSaoban,6,,Twitter for Android
21,21,21,Igbotic Lagos chic,1485376225858232328,,deep,False,2022-01-23 22:17:43+00:00,Wetin do Anthony Joshua no teach una lesson? #Buhari has allergy for succes.,en,0,inno_lily,0,['Buhari'],Twitter for iPhone
22,22,22,chinyere chigbu,1485376222959968263,,,False,2022-01-23 22:17:43+00:00,RT @holuraf_: On today’s episode of images that precedes bad incidents #okoye #nigeriavstunisia #iwobi #buhari #Nigeria https://t.co/thwrpk…,en,0,chigbu_chinyere,9,"['okoye', 'nigeriavstunisia', 'iwobi', 'buhari', 'Nigeria']",Twitter for Android
23,23,23,kunmi,1485376202282045450,"Lagos, Nigeria","22/22
💙

https://t.co/yF8IeIMYTu
ps. follow my backup page @kunmi____",False,2022-01-23 22:17:38+00:00,"Super Eagles in whatever you all do
Don't sneak into Nigeria at 3am like Gh3nai3ns 
Walk with pride abeg 
#Nigeriavstunisia #SuperEagles #AFCON2021 #Ghanians #Buhari #Iwobi #Nigeria",en,0,iteeoluwakiishi,0,,Twitter for Android
24,24,24,Tega brown,1485376179938988040,Jos,Football ⚽⚽,False,2022-01-23 22:17:32+00:00,"#buhari  to super eagles : all i need you guys to do is to loose to my great grandfather's country,or else you wont have your Nigerian citizenship anymore https://t.co/wX5FQabsUY",en,0,ogene_tega,0,['buhari'],Twitter for Android
25,25,25,Prom Prom💫✨☄️,1485376178823348232,Lagos nigeria,"𝑩𝒆𝒍𝒊𝒆𝒗𝒆 𝒀𝒐𝒖,𝒓𝒆 𝑩𝒐𝒓𝒏 𝑻𝒐 𝑨𝒄𝒉𝒊𝒆𝒗𝒆 𝑮𝒓𝒆𝒂𝒕 𝑻𝒉𝒊𝒏𝒈𝒔.
𝑴𝒂𝒌𝒆 𝒊𝒕 𝑯𝒂𝒑𝒑𝒆𝒏 𝑾𝒉𝒂𝒕 𝒆𝒗𝒆𝒓 𝒊𝒕 𝑻𝒂𝒌𝒆𝒔🧬",False,2022-01-23 22:17:32+00:00,"RT @ayemojubar: #Buhari: Musa saw it coming. 😭🥺
I blame Desmond Elliot for all this. 😡
https://t.co/8fud2GGZuO",en,0,PatrickPromis18,193,['Buhari'],Twitter for Android
26,26,26,chinyere chigbu,1485376151803645961,,,False,2022-01-23 22:17:26+00:00,"RT @The_Seeker76: Chaiiiii.....Nigerians no dey waste time!!!

#AFCON 
#NGRTUN 
#Buhari https://t.co/bc4WABt7nZ",en,0,chigbu_chinyere,11,"['AFCON', 'NGRTUN', 'Buhari']",Twitter for Android
27,27,27,chinyere chigbu,1485376136486006785,,,False,2022-01-23 22:17:22+00:00,"RT @oladapobolaji5: Tunisia: Nigeria is the strongest team in this tournament. No way we’re beating them
Coach: yes we can!
Tunisia: how?
C…",en,0,chigbu_chinyere,6,,Twitter for Android
28,28,28,Kayoflife,1485376123202592775,,fearlessly faceless,False,2022-01-23 22:17:19+00:00,abeg dey filter your call before U pick am oo... maybe not be fortunate #Buhari #afcon2022,en,0,kayoflife,0,"['Buhari', 'afcon2022']",Twitter for Android
29,29,29,Debbie,1485376117154500614,Abeokuta Ibadan,Believer//Veterinarian//Hair extensions Vendor & Wig Stylist IG: debrah_essentials FB: Debrah 📲09073119741,False,2022-01-23 22:17:17+00:00,"RT @ayemojubar: #Buhari: Musa saw it coming. 😭🥺
I blame Desmond Elliot for all this. 😡
https://t.co/8fud2GGZuO",en,0,Deboraholunlade,193,['Buhari'],Twitter for Android
30,30,30,Akorefe Melissa,1485376109906702336,,Here to have Fun and catch cruise,False,2022-01-23 22:17:16+00:00,"RT @Nono_Serah: #madukaokoye
😂😂😂😂
To think say people been dey show this guy love unto say him fine...

Now he don lose focus, dem don dey…",en,0,akorefe_melissa,6,['madukaokoye'],Twitter for iPhone
31,31,31,Cyril Chuga Dambo,1485376083142848517,"Kaduna, Nigeria","Christian ✝ 
Online entrepreneur 💻
Veterinarian 💉
Spoken word artist 🎤
Poet📝
Chongai💪",False,2022-01-23 22:17:09+00:00,"Make buhari call man city now 🙄

#AFCON2021 #Buhari",en,0,CyrilDambo,0,"['AFCON2021', 'Buhari']",Twitter for Android
32,32,32,papi_water,1485376062943072262,,😝,False,2022-01-23 22:17:05+00:00,RT @Bishop_Dee_: #Desmond Elliot #Buhari #Nigeriavstunisia  Oh no 😭😭 https://t.co/vD1hxtwMAt,en,0,YSemilore,9,"['Desmond', 'Buhari', 'Nigeriavstunisia']",Twitter for Android
33,33,33,Chief Architect(FNIA)🗼,1485376056567681028,Global village,"Architect, design and build 
My designs are easy to understand. 
#Abusite
 check my media/turn notification
CEO @Designbuilders_ @wazirventures Rc:KD008338",False,2022-01-23 22:17:03+00:00,"RT @ayemojubar: #Buhari: Musa saw it coming. 😭🥺
I blame Desmond Elliot for all this. 😡
https://t.co/8fud2GGZuO",en,0,ChiefArchitect_,193,['Buhari'],Twitter for Android
34,34,34,PDP Mobilization Team,1485376023113859072,"Lagos, Nigeria",PDP mobilization 2023,False,2022-01-23 22:16:55+00:00,@toluogunlesi Avoid #Buhari this week,en,0,PDPmobilizatio,0,['Buhari'],Twitter for Android
35,35,35,S_A_I_L_A_B,1485376009713111040,kano nigeria,"Love allah 1st

Nd prophet mouhammad (saw)

mom nd dad  n 👪",False,2022-01-23 22:16:52+00:00,"RT @Abdullahiabba_: Nigeria did not loose against Tunisia, Biafra and oduduwa republic are the ones who loose and now dragging #Buhari into…",en,0,Saifull65684593,19,['Buhari'],Twitter for Android
36,36,36,Strong Truth,1485375994039050242,Uppermost Realm,Time is of the Essence,False,2022-01-23 22:16:48+00:00,"RT @ayemojubar: #Buhari: Musa saw it coming. 😭🥺
I blame Desmond Elliot for all this. 😡
https://t.co/8fud2GGZuO",en,0,strong_truth,193,['Buhari'],Twitter for iPhone
37,37,37,Lilgend is just a boy🤪,1485375984136339458,Top memba,██▓▒­░⡷⠂𝚁𝚊𝚟𝚎𝚛𝚜⠐🦅⢾░▒▓██,False,2022-01-23 22:16:46+00:00,"RT @ayemojubar: #Buhari: Musa saw it coming. 😭🥺
I blame Desmond Elliot for all this. 😡
https://t.co/8fud2GGZuO",en,0,Lilgend,193,['Buhari'],Twitter for Android
38,38,38,Saint JohnPaul.,1485375981858734085,"Lagos, France",All Sports Government Government Local News World News Football International Politics Government & Politics Entertainment Sports,False,2022-01-23 22:16:45+00:00,"RT @ayemojubar: #Buhari: Musa saw it coming. 😭🥺
I blame Desmond Elliot for all this. 😡
https://t.co/8fud2GGZuO",en,0,phonzaman,193,['Buhari'],Twitter for Android
39,39,39,Jason Lawrence,1485375949176778764,"Port-Harcourt, Garden City","JL's Inc. Redefining your Future,
Life Coach: dm for bookings or email: jasonmasonlawrence@gmail.com
Call: +2348102220384",False,2022-01-23 22:16:37+00:00,"RT @ayemojubar: #Buhari: Musa saw it coming. 😭🥺
I blame Desmond Elliot for all this. 😡
https://t.co/8fud2GGZuO",en,0,lawrencepromise,193,['Buhari'],Twitter for Android
40,40,40,IMHONTU OLUMENSE,1485375934295416834,"Benin-City, Nigeria",#Loverofwisdom #politicalScientist. Young and vibrant Nigerian who's ready to Change Nigeria through positive and active Representation,False,2022-01-23 22:16:34+00:00,Brand New And Direct UK used iPhones and laptops are available in our Benin city outlet. Call or WhatsApp https://t.co/Fc2CHyB4FS is Nationwide. #Buhari #SuperEagles #okoye #AFCON2021 #Nigeria #Nigeriavstunisia,en,0,Lord_Savio,0,,Twitter Web App
41,41,41,Cryptohunter,1485375910106783744,,Professional Moderator and Social Media Manager,False,2022-01-23 22:16:28+00:00,"I think there's return leg sha,I don't believe we're out of the competition #BUHARI you no do well",en,1,Lekspot_02,0,['BUHARI'],Twitter Web App
